Hari,Jam Ke,Waktu,Kelas,Mapel,Kode Guru
Senin,1,07:30-08:10,VIII-A,MBG,
Senin,1,07:30-08:10,IX-A,MBG,-
Senin,2,08:10-08:50,VIII-A,Matematika,7
Senin,2,08:10-08:50,VIII-B,B.Indonesia,24
Senin,2,08:10-08:50,VIII-C,P.Pancasila,9
Senin,2,08:10-08:50,VIII-D,IPA,3
Senin,2,08:10-08:50,VIII-E,Agm/B.Pekerti,26
Senin,2,08:10-08:50,VIII-F,B.Indonesia,23
Senin,2,08:10-08:50,VIII-G,IPA,2
Senin,2,08:10-08:50,VIII-H,Seni_Musik,19
Senin,2,08:10-08:50,IX-A,Bahasa_Inggris,14
Senin,2,08:10-08:50,IX-B,Bahasa_Inggris,15
Senin,2,08:10-08:50,IX-C,Informatika,30
Senin,2,08:10-08:50,IX-D,P.Pancasila,10
Senin,2,08:10-08:50,IX-E,B.Indonesia,21
Senin,2,08:10-08:50,IX-F,IPS,18
Senin,3,08:50-09:30,VIII-A,Matematika,7
Senin,3,08:50-09:30,VIII-B,B.Indonesia,24
Senin,3,08:50-09:30,VIII-C,P.Pancasila,9
Senin,3,08:50-09:30,VIII-D,IPA,3
Senin,3,08:50-09:30,VIII-E,Agm/B.Pekerti,26
Senin,3,08:50-09:30,VIII-F,B.Indonesia,23
Senin,3,08:50-09:30,VIII-G,IPA,2
Senin,3,08:50-09:30,VIII-H,B.Indonesia,25
Senin,3,08:50-09:30,IX-A,Bahasa_Inggris,14
Senin,3,08:50-09:30,IX-B,Bahasa_Inggris,15
Senin,3,08:50-09:30,IX-C,Informatika,30
Senin,3,08:50-09:30,IX-D,P.Pancasila,10
Senin,3,08:50-09:30,IX-E,B.Indonesia,21
Senin,3,08:50-09:30,IX-F,IPS,18
Senin,4,09:40-10:20,VIII-A,Bahasa_Inggris,16
Senin,4,09:40-10:20,VIII-B,Matematika,7
Senin,4,09:40-10:20,VIII-C,IPA,3
Senin,4,09:40-10:20,VIII-D,B.Indonesia,23
Senin,4,09:40-10:20,VIII-E,Bahasa_Inggris,14
Senin,4,09:40-10:20,VIII-F,Bahasa_Bali,29
Senin,4,09:40-10:20,VIII-G,Bahasa_Bali,28
Senin,4,09:40-10:20,VIII-H,B.Indonesia,25
Senin,4,09:40-10:20,IX-A,IPA,2
Senin,4,09:40-10:20,IX-B,P.Pancasila,10
Senin,4,09:40-10:20,IX-C,Agm/B.Pekerti,26
Senin,4,09:40-10:20,IX-D,B.Indonesia,21
Senin,4,09:40-10:20,IX-E,Seni_Musik,19
Senin,4,09:40-10:20,IX-F,IPS,18
Senin,5,10:20-11:00,VIII-A,Bahasa_Inggris,16
Senin,5,10:20-11:00,VIII-B,Matematika,7
Senin,5,10:20-11:00,VIII-C,IPA,3
Senin,5,10:20-11:00,VIII-D,B.Indonesia,23
Senin,5,10:20-11:00,VIII-E,Bahasa_Inggris,14
Senin,5,10:20-11:00,VIII-F,Bahasa_Bali,29
Senin,5,10:20-11:00,VIII-G,Bahasa_Bali,28
Senin,5,10:20-11:00,VIII-H,B.Indonesia,25
Senin,5,10:20-11:00,IX-A,IPA,2
Senin,5,10:20-11:00,IX-B,P.Pancasila,10
Senin,5,10:20-11:00,IX-C,Agm/B.Pekerti,26
Senin,5,10:20-11:00,IX-D,B.Indonesia,21
Senin,5,10:20-11:00,IX-E,Seni_Musik,19
Senin,5,10:20-11:00,IX-F,Matematika,8
Senin,6,11:00-11:40,VIII-A,Informatika,16
Senin,6,11:00-11:40,VIII-B,Agm/B.Pekerti,28
Senin,6,11:00-11:40,VIII-C,Agm/B.Pekerti,27
Senin,6,11:00-11:40,VIII-D,B.Indonesia,23
Senin,6,11:00-11:40,VIII-E,Bahasa_Bali,29
Senin,6,11:00-11:40,VIII-F,Bahasa_Inggris,14
Senin,6,11:00-11:40,VIII-G,Matematika,5
Senin,6,11:00-11:40,VIII-H,IPA,3
Senin,6,11:00-11:40,IX-A,Informatika,30
Senin,6,11:00-11:40,IX-B,IPA,2
Senin,6,11:00-11:40,IX-C,Seni_Musik,19
Senin,6,11:00-11:40,IX-D,B.Indonesia,21
Senin,6,11:00-11:40,IX-E,P.Pancasila,10
Senin,6,11:00-11:40,IX-F,Matematika,8
Senin,7,11:50-12:30,VIII-A,IPA,3
Senin,7,11:50-12:30,VIII-B,Bahasa_Bali,29
Senin,7,11:50-12:30,VIII-C,B.Indonesia,23
Senin,7,11:50-12:30,VIII-D,IPS,24
Senin,7,11:50-12:30,VIII-E,Informatika,30
Senin,7,11:50-12:30,VIII-F,Bahasa_Inggris,14
Senin,7,11:50-12:30,VIII-G,IPS,25
Senin,7,11:50-12:30,VIII-H,P.Pancasila,10
Senin,7,11:50-12:30,IX-A,Matematika,8
Senin,7,11:50-12:30,IX-B,IPA,2
Senin,7,11:50-12:30,IX-C,Bahasa_Bali,27
Senin,7,11:50-12:30,IX-D,IPS,18
Senin,7,11:50-12:30,IX-E,Agm/B.Pekerti,26
Senin,7,11:50-12:30,IX-F,B.Indonesia,21
Senin,8,12:30-13:10,VIII-A,IPA,3
Senin,8,12:30-13:10,VIII-B,Bahasa_Bali,29
Senin,8,12:30-13:10,VIII-C,B.Indonesia,23
Senin,8,12:30-13:10,VIII-D,IPS,24
Senin,8,12:30-13:10,VIII-E,Informatika,30
Senin,8,12:30-13:10,VIII-F,Bahasa_Inggris,14
Senin,8,12:30-13:10,VIII-G,IPS,25
Senin,8,12:30-13:10,VIII-H,P.Pancasila,10
Senin,8,12:30-13:10,IX-A,Matematika,8
Senin,8,12:30-13:10,IX-B,Bahasa_Bali,28
Senin,8,12:30-13:10,IX-C,Bahasa_Inggris,15
Senin,8,12:30-13:10,IX-D,IPS,18
Senin,8,12:30-13:10,IX-E,Agm/B.Pekerti,26
Senin,8,12:30-13:10,IX-F,B.Indonesia,21
Selasa,1,07:30-08:10,VIII-A,KERJA,BAKTI
Selasa,1,07:30-08:10,IX-A,KERJA,BAKTI
Selasa,2,08:10-08:50,VIII-A,IPS,21
Selasa,2,08:10-08:50,VIII-B,IPA,3
Selasa,2,08:10-08:50,VIII-C,Matematika,7
Selasa,2,08:10-08:50,VIII-D,Bahasa_Inggris,16
Selasa,2,08:10-08:50,VIII-E,PJOK,12
Selasa,2,08:10-08:50,VIII-F,PJOK,12
Selasa,2,08:10-08:50,VIII-G,Matematika,5
Selasa,2,08:10-08:50,VIII-H,Bahasa_Inggris,14
